Song,Nation,Year,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,SpectralCentroid,SpectralRolloff,SpectralFlatness,SpectralBandwidth,ZeroCrossingRate
\100 Prozent - Eclypse,Germany,1994,-154.62237170170454,113.6862694541997,19.1297066797482,31.979513774396324,0.6830590723719718,18.010784272742743,-1.8937298813025147,7.732933748875667,-0.4827912502458587,5.184715276948604,-7.671752253514168,-0.8782886233252729,-0.5455255670208782,1687.7327629504368,4022.507984527914,0.008683655620188439,2229.6880348138775,0.050093014226931874
\100 Prozent - Power Of The Light (100 Prozent-Mix),Germany,1994,-117.36574948106137,74.95466155249163,27.2170625060061,23.795509469828435,6.039037773536404,16.571458654049657,3.2523785755716683,16.103342164457086,-0.49044197493691477,13.21412587431774,-3.4873231839492633,9.422054715368645,-3.363382444815361,2927.357844358947,6453.954559412624,0.03143156907930573,2869.4847623315886,0.1306676984267503
\100 Prozent - Power Of The Light (Radio Edit),Germany,1994,-11.059049110613888,77.66280467490188,12.07066247512062,21.89821813283723,1.4395026905634323,11.092988796511806,-4.166246644337857,13.08048863760313,-5.623052521575899,12.778670072812243,-6.149414773603135,9.789743173870594,-5.5832184719594835,2824.3442197873765,6479.23677332261,0.027978035426068075,2885.535631526723,0.11554478236607142
\1000 Micro Dats - The Centre (Tuned Mix),Germany,1993,-192.3958861050881,60.59021264415935,26.253814043515334,19.297020527546326,-2.7516075352209426,17.78667584582088,-0.42582728540840487,9.449576084423997,-5.4620221285002035,8.476252405082823,-1.1056643716047485,11.554237254621249,-0.5623257163629366,3227.795685858526,7022.027161667467,0.031360328193948656,3048.451642025156,0.12075345343051676
\16 Bit - Where are you,Germany,1986,-232.76828634470192,135.54839403893735,-6.392484587186408,37.1043018349946,3.6924058526109422,15.545025657066308,-5.89982474871262,6.8356437667687,-8.224917155347018,1.8169725269458792,-7.95595115468215,-1.5440353796463813,-5.68601814511327,1368.7602528921775,2753.347192184682,0.006985760548153484,1764.0955022618643,0.05782148190937782
\2 German Latinos - Gigolo Gigolette (Delkom Dance Mix),Germany,1989,-205.67041506161226,37.30218460801428,37.71047179657607,43.411355011088084,13.717099847140613,26.673919659781745,2.144904429599441,23.082370661032993,-3.522480230302413,8.883434274804316,0.7825119124117137,13.621965631489863,-4.285986840759192,3297.1680272859667,6913.897785036845,0.04060857425932869,2982.020947015445,0.13678193141662837
\2 German Latinos - Viva La Droga Electronica (Subliminal Style),Germany,1991,-89.6690194355581,71.32633401776133,2.266082155937042,23.79680239840638,3.442190467144341,23.394379408017375,-4.759898216677173,10.664891665925072,-7.0869135459784705,8.511684957255097,1.2949990241174458,9.975704351279008,-4.075513288558903,2821.109232720013,6186.31534145598,0.04008132719475836,2733.6779920488875,0.12909329636521788
\2 German Latinos - Yo Soy Tu Droga (Dominant Style),Germany,1991,-106.62885299246554,73.63109493125495,-2.0675049292366188,25.479272109869182,1.4464943728309392,21.833415930879347,-5.525556971876676,9.136380331111074,-7.997969697620918,8.48572742865596,0.8732062749637304,8.954754017989469,-4.875731728299346,2751.445838900036,5920.798070380029,0.03483668315016539,2630.5490668265247,0.13210226288923982
\2 Megabite - Beat The Feet (Insert Disk Version),Germany,1990,-142.61444674557995,45.91118866612342,-6.577855603910226,39.116263621384135,11.23878580990366,21.137716640358224,-4.33361726353995,17.38207842761723,-0.5333059387699928,14.106437632110026,-1.6920399605588219,7.626340124069172,-2.782516812176502,3095.237192763136,6132.326624563394,0.04084248262780685,2626.7014570653446,0.14341402980730292
\2 X-Treme - Der General (Bewegt Euch),Germany,1992,-106.82088067334325,79.75109802856743,20.000810124600928,33.72280705827905,4.790273943115082,18.80474206811868,-5.227588301280469,12.074235258788528,-3.6653050427674785,10.976642324028155,-3.70076757150863,9.451397672707934,-4.244360638257344,2621.1891602012265,6029.513071818524,0.021689099092184628,2810.693012076126,0.09122010502949297
\2Hard Out On Hi - One Good Nite On Hi,Germany,1988,-125.21149656872663,98.9621299192279,3.793569132112073,23.774728136711982,1.2775069153413066,10.770273313475602,-4.7568778581042235,13.613487531526996,-7.7499138687526745,7.040905334822737,-8.399781106394201,4.109055086659256,-8.17211346266145,2237.66182948923,5007.1070976801175,0.021982476707749964,2477.37842018076,0.09585441594534963
\3 Minute Tantra - Skydiver,Germany,1994,-111.78880699802434,108.10951806480321,4.650797352125597,36.72584516932334,18.09883529172604,34.31133082394332,5.959096580856222,13.509662713289247,6.005091013114641,18.437111165742312,-2.6639404447111077,4.657716727716337,-7.600701797825493,1868.2326371964032,4090.2614022979287,0.007024423247930125,2161.327664877277,0.08370730044904692
\3 Of The Living - Rhythm Of Life (Chill-out),Germany,1993,-284.8252553937012,141.3800060894337,0.9476212415863942,32.53345838299886,-6.003577104621875,14.185087450748446,-1.4057548782331193,9.618165711205796,2.2804661267874327,7.030587826650135,-1.6624072771294611,2.750319006051435,1.2013233712347142,1197.3716334032285,2515.6353132704407,0.0011224265374332814,1549.7712556655183,0.056715153651199585
\3 Of The Living - Rhythm Of Life (Extended Version),Germany,1993,-131.48961948051974,87.30271029208858,4.462598067534808,36.769163164983595,6.871567044840555,13.294992977796262,0.3028455840892871,6.693314203859019,-5.46864180416656,5.990930568393368,-4.286357986540116,8.781906085187027,-3.6070577432947784,2362.5338499370155,5353.2081691101685,0.019916699379217903,2496.576012268663,0.1036296007787831
\3 Of The Living - Rhythm Of Life (Techno(per)version),Germany,1993,-133.84587061620596,84.91777802107453,17.958746027082032,32.8346986168623,11.85193703454576,16.851258742380562,0.05084947721869276,17.856529533382048,-2.59547291357092,10.003551047775481,-1.0082471404255133,6.533615361424218,-7.331543911468041,2423.446396370072,5558.5457956414475,0.018766170354269987,2684.594357229115,0.09205889071637427
\3 Phase - Road 3,Germany,1994,-179.31878577733798,93.5142657488988,44.28773765380849,36.47189889975271,12.46511469874497,16.48775585987249,-12.069516505247293,11.846311128274714,-14.112160312684516,5.786378646758104,-8.502218216314143,5.981819386159517,-6.856045989481207,2220.5668472377365,5267.160942002264,0.011302529193885627,2668.2323618971177,0.08628749742727772
\3 Phase - Road 4,Germany,1994,-176.98530092955178,77.89080974324928,42.5718048418829,39.390250556244375,8.789427123545833,18.6327247808746,-9.160721601773593,15.274443136216046,-9.031530059968674,11.555103490418606,-6.426136972130593,7.779421839915312,-4.553271519251795,2622.0981660276216,5984.418349305819,0.02212301920902834,2781.7348251295566,0.12593112161793973
\3 Phase - Road 5,Germany,1994,-160.70595077008687,118.26530181860768,7.714645542283309,37.44874844709523,3.1900602999938648,14.416756347731399,-4.220855352393394,5.7178519691776835,-4.99192889069618,5.536138835347271,-1.9493829993131249,4.838958668407931,-2.5325307140690936,1807.0938933992818,3989.4237412155258,0.013996622197743305,2121.472892162589,0.07665587695100741
\3 Phase - Rota,Germany,1993,-141.65271054651978,72.9035436816564,14.628673173353397,21.30335812161416,8.977864454575222,26.15170444751557,-6.399750090532898,15.552555961123689,-5.910080287222796,15.042071458942528,-3.12643846165425,9.493367343246696,-4.113828668405113,2838.3688370587975,6084.164706306806,0.03672390617052699,2763.5403065654523,0.132128733763247
\3 Phase - The Sun,Germany,1992,-5.844451926735851,101.20630797456718,-29.96936072018632,24.017840905012903,-12.13378979762924,15.363043505841189,-9.729545970364093,8.631080057779293,-6.449089877996366,13.766618877579916,-9.276552483227308,7.3164230484610595,0.029664716996082034,2268.875828809156,4621.957655699092,0.01616373551872838,2175.8473674045185,0.12464190975918042
\3 RD Electric - Hydro,Germany,1991,-193.67777920490207,102.08984681056333,21.96449924658654,19.07393828858913,2.809561667857253,16.68880866461918,-2.9088087158557228,7.0278656807432425,-5.4749734683256985,6.160282030478362,-3.9268356781537377,5.908315293821275,-5.453581324544032,2219.3830617414665,5102.933128142718,0.018175050926036006,2530.804269194837,0.09858891464464092
\3 RD Electric - Hydro - Electric,Germany,1991,-186.88850969395256,104.12668912929175,-3.259760340921007,15.901787414063465,5.835801830363841,20.098912597859805,-3.1115973955968252,7.0512367153081055,0.8047775212467279,16.413426081460987,2.0322071796280663,10.180228638778498,-0.35958998520955227,1949.183734127277,4306.299054031725,0.00983352950559278,2299.3632583920103,0.06507678892308327
\3 RD Electric - Hydro - Galactica,Germany,1991,-170.67396831379256,59.24881645991316,42.91053173205081,12.643428362518362,15.841742577374648,26.634532468247762,-5.010516001338233,19.221888152393383,-3.5296378394942627,13.728262018188627,-6.6761140728124815,6.497548215497056,-9.049258705275394,3679.507598599502,7841.890337214124,0.031904259028745795,3329.7174429593283,0.18325839761915153
\3 Times 6 - You Can Run (Hypnotic Mix),Germany,1990,-117.64451135497146,94.14895618419264,-0.867999331943972,36.13799597913724,14.635206291159381,31.11850047873358,-2.149563644691648,11.72671986763546,3.4154553181808285,11.284796628166312,0.31456983326077825,6.14523057592976,4.861579160928617,2060.9996699922704,4716.0763850891635,0.008156581602186649,2435.378651737212,0.06670347113847443
\3 Times 6 - You Can Run (Mellow Mix),Germany,1990,-92.03421148312334,85.69115946064584,-1.0953303490960413,40.9946519839458,10.215886072788495,30.157273035777063,0.14465281209046754,13.888550968517343,2.177599049366326,10.227444390978258,-0.19092776350235233,7.566936323419213,2.3046099447712907,2316.9617614618905,5182.028022179236,0.01317199129119705,2525.0661529534273,0.08599931765825321
\3Phase - Der Klang Der Familie,Germany,1992,-122.72707031992256,56.1739972023718,3.3209735512085063,23.367722892124025,0.4451863933519695,25.647622844175878,0.5587244789730088,22.487815566228885,-0.30143107415682713,16.86529010446336,0.471403587464168,9.29943271215541,-1.6026316303934063,3065.3612595366203,6208.5785498119,0.04017947157463387,2667.788438246031,0.14875953482736337
\4 Reeves - Jumpin',Germany,1992,-158.68063328122068,71.30180702198903,28.613227023388035,28.549327017111,10.003692574242788,21.282333793905202,2.8587599337636393,20.359968260052295,-6.786733429866782,14.332128037582532,-6.360159863292393,9.748321613911374,-3.5044741882963044,2629.3426547084655,6356.680942950157,0.017638851610030627,2911.0635763089304,0.09854645757991135
\4Voice - Catching The Scent,Germany,1992,-111.130044631237,86.79439944710465,-0.9055457365686271,32.60203361780732,9.392739363434663,14.769102842618755,-4.507163493566227,6.330688282373057,-6.573263811810125,7.583562484429507,-5.930752317959689,9.100729286743196,1.4516267679263108,2212.4144534880916,5075.25634765625,0.008393287232385437,2499.732786825568,0.08107488404805353
\4Voice - Catching The Scent Of Mystery,Germany,1992,-16.857539530856602,76.85328114742858,-1.2189687945902712,12.041628149336319,0.5149294981334576,16.41301504913438,-1.4010827113659337,17.567973080998037,-4.933526289651055,12.146343180956931,-3.4434585122596455,8.749831196717485,-4.691694731560254,3004.7487726990757,6541.392199317689,0.041187803285736714,2811.7798161880937,0.14576672523598733
\4Voice - Eternal Spirit (Northern Mix),Germany,1993,-99.29874699635346,120.21541547727442,14.371918241905353,19.90945783914361,8.869810682649508,14.80550503811202,-1.2306595163601064,15.549967200277651,-3.3012154113506913,12.389710497484732,-4.047709406700093,8.000173024872435,-3.004356759567647,1735.9246355700925,3954.050622325962,0.00817827642727149,2296.9432274302985,0.06413184867101304
\4Voice - Eternal Spirit (Southern Mix),Germany,1993,-115.18339045434718,112.59007994097728,10.954460423096549,26.058926929523704,8.246596950938931,18.033877707150623,-2.8815569363132214,14.276249646003912,-5.957327310263431,11.232684393474715,-5.438373931176654,6.300238050627437,-6.069411510681903,1881.7815091526684,4280.02274897265,0.009887844079552417,2356.3378450789955,0.07100985462326646
\4Voice - Fairlight 1,Germany,1993,-182.81511598397213,114.20130572235286,10.030812634094685,29.624262609860565,9.419327129529092,13.61504749518766,3.5988606096876308,10.76257456729943,-2.7672755139126,9.539085407612996,-4.731558975070207,6.1563207329096725,-1.1203748779098774,1594.363826326671,3707.469793606972,0.0030998917466275797,2213.434462077545,0.04402729905368547
\4Voice - Fairlight 2,Germany,1993,-212.29370384986956,105.69511674041834,7.181715173460752,32.77211539248709,7.31868616052967,13.882775041501548,4.047250410721676,11.844435326974551,-2.2557923108946603,8.21330854336613,-4.297263179237794,4.861855672551141,-1.5198005207079461,1541.5978531365129,3489.596341836332,0.0026734340721725597,2130.7833633043224,0.042158373009609985
\4Voice - Fairlight 3,Germany,1993,-195.51332973989798,103.01577514457601,13.485131135210395,31.56347605397309,10.124248995193383,15.867121561334734,4.901187598980872,12.743096320437363,-1.852359647130541,10.715837162549093,-4.054632058906398,7.678947580664033,-0.5809458831901116,1771.4943983331257,4249.936905435072,0.004525598978024078,2383.218018181543,0.046311488615952634
\4Voice - Join Us On Our Way To The Final Frontier,Germany,1993,-66.82001139599168,80.409037488532,19.38131894182102,19.927863310134796,0.7061729640839299,17.068739346427957,-6.1847100476703964,7.880482555709419,-2.0759088956766654,10.323700117960813,-5.27510555826645,7.310833184069976,-4.488906746714484,2696.489092714437,5947.531022535135,0.02773731481987972,2689.369431059876,0.12452408504412893
\4Voice - Light,Germany,1993,-166.63549808155153,108.91530468391481,-16.055706805066492,33.05458682902575,9.944336297034578,22.290925490405524,2.5101850649475765,16.097407032037154,-4.321182341850145,10.266629744842529,-2.5709252710512374,4.694333642080892,-0.20057003762030096,1572.3262577505286,3324.626883390908,0.00507639536843907,1928.5941309782725,0.0517267958026066
\4Voice - Move #2,Germany,1993,-1.8848285554575739,56.9050948611669,1.923643084138625,28.552463337899244,7.7316315963926145,21.597127532156748,-4.6987093403277775,14.080418520080972,-2.4703185180990714,12.764525334293456,-6.921319903125443,8.91029605069817,-5.839531895254897,3267.0858198271785,6826.645729502766,0.05367873286316917,2887.4059568111725,0.1582973152296036
\4Voice - Move,Germany,1993,-29.40473956370386,65.54447365333142,-16.686994532472035,24.292458618892162,16.877621866330664,25.240334271918265,-6.884953408600478,20.40960295892881,-0.8225738033566293,12.366935820343128,2.22987881182703,3.9891762105846493,-1.543940341096274,2951.9107499348806,6249.771905764976,0.047738101541821516,2716.9529307926337,0.14783685644080297
\4Voice - Music Hypnotizes,Germany,1992,-109.11975167494627,123.12596658881964,-5.181688346088811,30.108125421252215,9.890499679003785,13.566990556980636,-6.0471233230511725,5.514059275013974,-6.201522826881007,6.4923385981471196,-6.6520253901515085,4.753274483668393,-1.9607803972346847,1713.698699642517,3704.129392521862,0.0042559613510192666,2051.8348115117856,0.06614882508859168
\4Voice - Music Hypnotizes (Hypnotizing Mix),Germany,1992,-128.24947181743974,90.60868951308348,2.2266247524047476,33.21927683113739,7.269909902649602,15.303205109929188,-3.799380920632362,6.754292587074416,-6.341859470926259,7.448484582219934,-5.390435358377708,8.553343202051606,2.0370592864312242,2082.380003812604,4805.661987860394,0.006331846893324621,2417.145497050974,0.0706721535944613
\4Voice - The Final Frontier,Germany,1993,-289.93769460557746,151.37304268045483,39.84201487803465,18.090446713741667,25.399835372053154,16.207055367737787,12.249798566394736,12.451574461184096,7.522325327033483,9.21597668182786,4.59454810406165,8.056543419255549,2.9995971618415687,758.3999402936275,1371.343173327716,0.0014284898366173303,1495.0989117411941,0.016843135523886776
\5 Freunde - Blop,Germany,1994,-95.11581866674268,71.48862867846002,13.060999548332028,30.023898222528146,-7.547064749266915,10.445431159811422,-4.471848727221205,12.116951462684618,-5.276831303486439,8.930857168266613,-7.421142429183462,6.374641134792774,-7.374816503614895,2829.1112982716113,6061.373904954959,0.03554735061496482,2712.10618781951,0.13099553807606396
\5 Freunde - Judgement Day,Germany,1994,4.459573928223522,58.45907130204379,31.78342984777184,5.217112625864223,-22.776481041443674,11.302696268641224,-1.250349241275896,19.82223193641499,-3.9212242057390223,11.107573729261402,-4.618398445201643,9.565597687033343,-6.374659508432127,3762.452783956626,7640.1598079634905,0.062465313398741694,3117.7819978766343,0.2154853453279164
\5 Freunde - Wake Up,Germany,1994,9.021705555676876,48.87308016209708,46.601822819422615,-1.5337524492665535,-19.047447386780746,9.409091998315557,2.521640142217491,20.586462423578496,-3.2151441213044616,9.154731835370585,-8.561160415257497,10.41313887741033,-3.027857521943831,4431.673861788343,8395.62185828546,0.0705279217471698,3328.4913719730807,0.28699082557448496
\6-Pack - Drunken Piece Of Shit (Mix 1),Germany,1994,-20.350384075275855,83.89527129990276,-21.033728527559397,-9.404561855398969,-19.94728411390744,15.191475654066743,-11.293511156049,7.7625815200408965,-5.910443856235035,9.703654131504146,-6.977618220968535,8.530436473054774,-5.240417356388248,2606.5010666977323,5617.630926554635,0.028506553946768008,2540.3201193321847,0.10820208726579977
\6-Pack - Drunken Piece Of Shit (Mix 4),Germany,1994,6.350888274881782,70.54834343512748,-2.248680885653913,1.8328471629428293,1.5329044685755864,11.667993847241215,2.8636968263822657,9.01644995285381,4.499370388212349,16.894805580011965,0.10689307284598246,12.540636076139835,-2.385682152527377,3003.710286244969,7090.970892868244,0.03194000337718931,3049.2959995114984,0.11546103075265252
\8 A.M. - The Fog Track,Germany,1994,-123.77686587880555,117.24837467296153,28.089824516203365,2.3417366557150032,-27.638518641000253,6.732102259200267,-15.502596807872896,10.724629728023258,3.59629492950668,10.312892706526124,-0.4645187733092059,7.458698397701752,1.6299376144534212,2040.6375072803987,4703.138802142412,0.008144330818244259,2349.5318845867537,0.08682455904038112
\9 - 10 - Boy - Videobash,Germany,1992,-75.57836293507219,77.34496283180725,-12.58553134385537,33.50332005543055,-2.894316634190038,19.647948556267423,-5.9404488064599335,13.783141044322498,-6.961265710322267,14.108921048703243,-3.5194655488051856,10.749076785310855,-2.691563749802098,2621.955815727103,5591.166152646995,0.030419288674082844,2519.4243095721577,0.12205543101279472
\A-Head - Deep Down (Pressure Mix),Germany,1991,-60.74456966397739,80.15168284399212,11.329089299221133,33.37123756526801,6.880669741753877,23.912283170849804,-1.8749480032155874,16.986811262401385,-1.246937109734484,13.539662280980185,-1.0183537649263275,11.764422640431928,-1.1720204741466536,2600.6165783189717,6041.060003615517,0.026627378222581582,2789.87511662397,0.09056219435830153
\A.B. Free Feat. Linda Rocco - Go Deeper (Platin & Blond Mix),Germany,1993,-149.55283799870452,84.07349090428413,16.6954833335951,35.32319190532985,4.944178088593369,20.006856220768267,0.2600834012387214,15.560335573822913,-3.656681913384441,13.65565132213379,-4.456723617025878,6.959878780438202,-6.085811601318662,2422.767360841085,5571.30916819853,0.01996887028282589,2677.6641507997483,0.0979792633199113
