Song,Nation,Year,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,SpectralCentroid,SpectralRolloff,SpectralFlatness,SpectralBandwidth,ZeroCrossingRate
\100 Prozent - Eclypse,Germany,1994,75.03028495937608,30.2311780952477,18.728426389966742,13.294858362591112,11.4359471984124,10.330167710498053,9.189648737920155,8.071438734710384,7.854482650289841,9.50712203688601,9.730318287948593,7.741172536856816,8.129469796429076,631.3267267955016,1720.8566509198836,0.011343868055662303,562.5153219100349,0.028227097333014133
\100 Prozent - Power Of The Light (100 Prozent-Mix),Germany,1994,86.64734264253302,46.252778566970605,24.179235420225915,15.737817754628503,12.212223790500982,9.675894215158408,8.123349455289555,7.768249136514932,7.43978969203253,7.091227214742201,8.551739716418487,6.3706297689579445,6.811887623741791,1217.597221888543,2530.318182646388,0.03191308913421118,747.9654027088192,0.08335784339908693
\100 Prozent - Power Of The Light (Radio Edit),Germany,1994,38.11397366878945,21.90843442198439,21.375656197744412,13.287316671049854,12.579704701131405,9.479545676641349,8.794012091373228,8.404750068139817,7.002884860797849,7.1533841457275535,6.495708750362918,6.302898123015456,6.132188142760026,759.2336720122554,1387.9706068519472,0.028583129878608938,367.804897147769,0.06281044603897316
\1000 Micro Dats - The Centre (Tuned Mix),Germany,1993,69.84772093708085,35.65621928904147,25.30851116157728,19.817773551528802,15.30171301463264,12.815024933222753,10.599787974406576,10.182133089222546,10.494148042643113,9.453518982021956,8.757506907898012,8.095103564515648,9.381029916460282,1029.0789868510992,1784.407774116835,0.034476335585425934,458.3997871641908,0.09290694441385045
\16 Bit - Where are you,Germany,1986,94.34358704466712,25.90021710634411,29.006320577564274,14.965365266203497,14.029994031011281,10.543843403354458,12.567296715022428,9.643688249020075,10.689319521447775,8.32836649608763,8.17844656349007,7.265827995108,7.818265622463741,462.6607924055898,1149.8303638370799,0.06386977084516239,359.4955749223516,0.024262202596645112
\2 German Latinos - Gigolo Gigolette (Delkom Dance Mix),Germany,1989,82.55973530115763,31.704312071419157,25.205786465130302,18.12891981476168,15.556810044380708,13.02091536936744,10.627187749427545,9.965494046205677,9.25765060076535,8.673130723136685,7.98753018058706,7.293017228252983,8.626793632156948,1307.4574684170286,1616.824938335737,0.050900496575230124,327.97677603777055,0.12027195115211994
\2 German Latinos - Viva La Droga Electronica (Subliminal Style),Germany,1991,63.54681587895465,32.13676492944069,20.014250324899482,15.145891817395162,10.853979423468331,10.831898063528179,9.28314915826755,9.04734708490121,8.93635105321383,7.183422513552714,9.689516520295436,8.27205529587552,7.817028642971176,846.6220124173991,1429.4603881634175,0.043293817233280296,374.60124284977394,0.07791334173611522
\2 German Latinos - Yo Soy Tu Droga (Dominant Style),Germany,1991,73.82922483274534,31.26523520545692,20.774540766340408,18.28756552848819,10.350069539554754,11.363380618937795,9.4251295527826,8.924647172091037,8.87526449571945,7.099522096500419,8.96492196337535,8.343591688245791,7.717697075582009,798.9749505314041,1471.3908074048097,0.03946759097857287,422.1376149933615,0.07207111086577384
\2 Megabite - Beat The Feet (Insert Disk Version),Germany,1990,86.83985702687478,35.98511135394256,27.61028988054667,20.633003126577343,13.613868548199028,12.744753597231163,11.676172623346625,11.26211887846328,8.419955182380933,8.982077994285504,8.974802544880777,8.971589419825701,7.998766531057556,993.7832847698295,1561.4367376380792,0.046269909433410396,384.90603257313,0.08699070795756864
\2 X-Treme - Der General (Bewegt Euch),Germany,1992,63.555719602292754,32.76664935489134,24.266071376308066,12.08492583152252,9.312713651075596,10.531528545639347,8.720381760995386,9.378121289476873,6.788498032512204,6.756805097805223,6.544071559567014,6.352068330649645,6.014630244089556,771.6132925176988,1788.0007477525883,0.02055011067535843,505.4932771822315,0.04711852284046281
\2Hard Out On Hi - One Good Nite On Hi,Germany,1988,92.80502556187129,30.575657465106133,22.047997077262153,17.547066207577153,14.373055686407566,11.256212382372533,11.938587168412706,10.213709950670188,9.158701971011535,7.731556760877616,9.852545700675584,7.311501720836623,7.591739947764111,854.8825974752815,1919.6939729062208,0.0277146588819771,477.7294236490937,0.06423392639916303
\3 Minute Tantra - Skydiver,Germany,1994,65.52867763522666,54.57708150807679,37.75578209619706,22.434011861274396,15.438977190198967,13.965373512537619,10.960058230085053,10.770824919550877,7.952939153303274,8.305395811965166,9.18752410359979,8.196870210426956,7.103525154263509,929.9978568173705,2147.6002005062296,0.010554938093140374,732.5160656081098,0.042677965652659286
\3 Of The Living - Rhythm Of Life (Chill-out),Germany,1993,96.18206305994532,34.36622053798082,39.32625289068221,21.218080552645485,22.137117580439895,18.82678221717651,11.951598546050347,13.16089690617689,13.257780352682573,12.204552291797325,13.458722714163814,15.307425861494584,13.156149172028085,617.6432426315623,1484.990282816414,0.00281234510743375,544.4916411587585,0.039579989140754585
\3 Of The Living - Rhythm Of Life (Extended Version),Germany,1993,83.68366239024849,33.41248824714011,19.654602161451116,16.67049346705154,15.327239614849603,11.300545593954862,12.239436600893974,9.383482566931386,11.530568993376649,10.233440163764808,10.365651186020344,8.76491281205543,9.783890552563744,942.8792600395219,2062.253888742685,0.02356909876381945,641.3923711283762,0.06377083149878766
\3 Of The Living - Rhythm Of Life (Techno(per)version),Germany,1993,62.05308165903879,35.219018219825536,22.5560170146544,15.413971979478157,12.85588359342566,10.014877980357989,8.367627351688382,7.993291020880699,7.655762158536543,7.6360424204846185,8.061126603611042,6.908653345237076,7.779556121009095,1014.0313302296368,2151.7595193781194,0.022259740494705325,582.0270369571589,0.06364992871932085
\3 Phase - Road 3,Germany,1994,65.32080869789277,34.8239535507774,22.677056645786955,14.878491309336152,11.896765610575304,9.141139389297587,8.666255221766574,9.75445212224203,8.136466388748785,6.9412255916828105,6.983438536178538,6.767296944638001,6.293670227404506,1058.2733439389913,2401.4641846278714,0.014687527648752722,622.0897534576105,0.0634621051653396
\3 Phase - Road 4,Germany,1994,73.0342875968518,39.285157083128105,21.161718360074936,17.382815110760575,12.277608398464936,8.77023532188792,8.653741913165646,8.874270982143045,7.792868816008768,7.246671111138741,7.042464812867103,6.486138335345052,6.423535489642198,1236.9402669164072,2181.422969538911,0.031008595742273406,603.5031484643858,0.10324502453828477
